,Product name,Description,Price,Rating,Overview,Category,Reviews,Favorites,Url,Images,Color 1,Color 2,Autoclass
718,Boy's Birthday Outfit - Dinosaur Birthday Shirt - Onepiece or Tshirt - First Birthday Outfit - Red Raglan Birthday Shirt - Trex Birthday Top,"
            This adorable onepiece is perfect for your child's first birthday party! It is just waiting to be worn by the little one in your life! 
- Please include the name and age you would like in the Notes to Seller box during the checkout process.
Our graphics are professionally printed directly onto the fabric for bright and vibrant designs which will last. The colors will not crack.
A size chart is available in the third photo. Sizes 0-18 months are a one-piece bodysuit, larger sizes are available as T-shirts. The t-shirt style has 3/4 length sleeves. Please select your desired size from the drop down menu when adding this to your cart.
We have a large selection of children's outfits, and party decorations -
SHOP HOME: 
http://www.getthepartystarted.etsy.com
        ",21.00,4.9135,"Handmade item
Material:  Cotton Poly Blend
Made to order
Ships worldwide from  United States
Feedback:  10789 reviews
Favorited by:  403 people",Clothing Unisex Kids' Clothing Tops raglan shirt,10789.0,403.0,https://www.etsy.com/listing/268578610/boys-birthday-outfit-dinosaur-birthday,"https://img1.etsystatic.com/130/0/5632626/il_fullxfull.923468059_nibu.jpg,https://img0.etsystatic.com/116/0/5632626/il_fullxfull.923723790_rizx.jpg,https://img1.etsystatic.com/130/0/5632626/il_fullxfull.1061836619_az7a.jpg",,,228
734,"Baseball birthday shirt, boys birthday shirt,  baseball t-shirt, baseball birthday party, baseball party, 1st birthday shirt, first birthday","
            This is a custom first birthday baseball shirt for your baseball fan!  This shirt is made to order we can customize the numbers and your child's name!  The Navy/Grey raglan is the shirt pictured.  Adult sizes available as well for matching shirts! 
Available in any age or saying! 
***Please add age and name (in all lowercase letters) to comments to seller when checking out***
Matching Hats can be found here: 
https://www.etsy.com/listing/485289159/baseball-birthday-hat-boys-birthday-hat
Single Adult shirts here:
https://www.etsy.com/listing/270079757/one-adult-raglan-shirt
Check out Shirts for the whole family! 
https://www.etsy.com/listing/452383454/four-baseball-birthday-shirts-baseball
**Please check shop announcement for current production times!        ",21.00,4.9151,"Handmade item
Occasion: Birthday
Made to order
Ships worldwide from  United States
Feedback:  2606 reviews
Favorited by:  2047 people",Clothing Boys' Clothing Tops cake smash shirt,2606.0,2047.0,https://www.etsy.com/listing/287933359/baseball-birthday-shirt-boys-birthday,"https://img1.etsystatic.com/142/0/9615260/il_fullxfull.1229968643_4oee.jpg,https://img1.etsystatic.com/150/0/9615260/il_fullxfull.1229968659_6fmn.jpg,https://img0.etsystatic.com/169/0/9615260/il_fullxfull.1182753096_1crv.jpg,https://img0.etsystatic.com/171/0/9615260/il_fullxfull.1166425020_8pdo.jpg,https://img1.etsystatic.com/175/0/9615260/il_fullxfull.1230594149_gd10.jpg",Navy/Grey,,228
775,Girls Monogrammed Dress Girls Beach Cover Up Girls Fringe Dress Personalized Summer Dress Beach Wedding Dress Flower Girl Dress Beach Dress,"
            Girls Beach Cover Up Girls Fringe Dress First Birthday Dress 1st Birthday Shirt Girls Bathing Suits Girls Summer Dress Monogrammed Girls Shirt Personalized Girls Dress Beach Wedding Dress Flower Girl Dress
THIS LISTING IS FOR THE FRINGE TANK DRESS ONLY with Monogram or Name and  heart on back. 
***Please leave monogram in ""notes"" section in the following order: First, Last ,Middle or child's name. 
Hair Bow NOT included.
*****Hair accessories sold separately *****
Hair Bow Listing: 
https://www.etsy.com/listing/385963602/sequin-hair-bow-glitter-hair-bow-bow?ref=shop_home_active_1
RUSH ORDER upon approval- Please Convo me prior to purchase.
https://www.etsy.com/listing/293317259/rush-my-order-upon-approval?ref=shop_home_active_1
Sizes and Measurements:
Sizes	3-6M	6-12M	12-18M	18-24M
Chest	   9""  	9-1/2""	10""	          10-1/2""
Front Length HP
         	16-1/8""	17-3/8""	18-5/8""	19-7/8""
Front Length HP
	         17-1/2""	18-3/4""	20""   	21-1/4""
  Your Measurements
Weight	12-16lbs	17-21lbs	22-26lbs	27-30lbs
Length	23""-27""	27""-29""	29""-31""	31""-33""
Sizes	        3	        4	      5/6	
Bust/Chest	11""	     11-1/2""      12""	
Front Length HP
                	21-1/8""	22-1/8"" 23-1/2""
Front Length HP
                	22-3/4""	24""	25-3/4""	
  Your Measurements
Chest	22""-23""	23""-24""	24""-25""	
Height	34""-38""	39""-41""	42""-44""	
Wash Instructions: Cold Water, inside out with like colors, dry on low or hang dry.
Each item is made to order so please allow 7-14 business days for processing. All items shipped via USPS and come with tracking number for your convenience.
Any questions, please contact me prior to purchasing.        ",21.00,4.7948,"Handmade item
Made to order
Ships worldwide from  United States
Feedback:  762 reviews
Favorited by:  568 people",Clothing Girls' Clothing Dresses Girls Summer Dress,762.0,568.0,https://www.etsy.com/listing/271552477/girls-monogrammed-dress-girls-beach,"https://img1.etsystatic.com/158/0/6972338/il_fullxfull.1149376435_bdwl.jpg,https://img1.etsystatic.com/168/1/6972338/il_fullxfull.1155350535_41jc.jpg,https://img1.etsystatic.com/126/0/6972338/il_fullxfull.936879251_tvk3.jpg,https://img1.etsystatic.com/176/0/6972338/il_fullxfull.1230631191_tdlh.jpg,https://img0.etsystatic.com/178/0/6972338/il_fullxfull.1183415034_pf3t.jpg",,,228
5409,womens vintage western belt,"
            vintage western belt. SARAH stamped in the middle. the H is over previously stamped S. clearly a mistake. gives it a real home made look. 1 inch wide narrowing to 3/4 inch at the ends.        ",21.00,4.9857,"Vintage item from the 1970s
Only ships within  United States .
Feedback:  642 reviews
Favorited by:  94 people",Vintage Accessories Belt western,642.0,94.0,https://www.etsy.com/listing/162918787/womens-vintage-western-belt,"https://img0.etsystatic.com/021/0/5922343/il_fullxfull.502372104_iebg.jpg,https://img1.etsystatic.com/018/0/5922343/il_fullxfull.502435251_dhrd.jpg,https://img0.etsystatic.com/022/0/5922343/il_fullxfull.502372106_ery3.jpg",,,228
7152,SALE FLASH SALE !! Baby first birthday banner / first year / birthday decor / party supply / baby boy / baby girl / wall decor / party decor,"
            Banner comes with the  ""Newborn"" section for your first day photos :) 
NEW GLITTER COLORS AVAILABLE ( Please see last picture)
- GOLD GLITTER 
- SILVER GLITTER 
- ROSE PINK GLITTER 
IN ADDITION TO OUR CLASSIC BABY PHOTO BANNER, NOW IT IS AVAILABLE IN HORIZONTAL STYLE FOR YOUR HORIZONTAL PHOTOS. 
Make your babies first birthday unforgettable with this first year birthday banner. 
All birthday banners include newborn pennant. 
If you are looking for another shape, color or even language, send me conversation and I will try my best to accommodate your request. 
Banner comes in two different sizes, 4x6 photos and 5x7 photos. Both sizes hold vertical photos. 
Banner is made out of card stock and it comes on string. Both sides have extra string so you can hang it easily :) 
It can be hang any where indoor or outdoor. This handmade Baby's First Birthday banner will complete your birthday party and make it unforgettable. It could be also used as a regular home decor on your walls. 
< < < < < < < < < < < < < < < < < < < < < < < < < < < 
Attention to all my INTERNATIONAL customers: 
International shipping is available. Destination tax and duties ( if occurred) are BUYER's responsibilities. 
--------------------
Since most of my items are handmade, returns are not acceptable. However, if you are not satisfied with your order, I would be happy to make any adjustments on your order. Please send me a message regarding your requests. 
-------------------
Thank you for your interest and come back again :)
***p.s. Babies on pictures are taken from internet. ***        ",21.00,4.9837,"Handmade item
Materials:  string, cardstock
Made to order
Ships worldwide from  United States
Feedback:  254 reviews
Favorited by:  2231 people",Paper & Party Supplies Party Supplies Party Décor Banners & Signs,254.0,2231.0,https://www.etsy.com/listing/458826452/sale-flash-sale-baby-first-birthday,"https://img1.etsystatic.com/109/0/10046553/il_fullxfull.1072248977_6x10.jpg,https://img0.etsystatic.com/162/0/10046553/il_fullxfull.1097789002_1mx4.jpg,https://img1.etsystatic.com/132/0/10046553/il_fullxfull.1102889903_ld2f.jpg,https://img0.etsystatic.com/141/0/10046553/il_fullxfull.1085394400_6xe8.jpg,https://img0.etsystatic.com/176/0/10046553/il_fullxfull.1103650470_eef6.jpg",GOLD GLITTER - 5X7 (31.00),,228
7467,Watermelon Bath Bomb | Watermelon Bath Bomb | What-A-Melon Bath Bomb Fizzy,"
            Our refreshing Watermelon Bath Bomb (What-A-Melon) is for the hot, humid, muggy days when you need a break. You need a refresh. Cool pink, pastel melon green and ice cold watermelon team up to beat the heat. Drop one into your bath for an instant summer classic. As you sink into a green and pink sea of color, feel the fresh ingredients go to work, washing away the day. Next time you need a refresh, What-A-Melon.
Free Shipping on all orders 50.00 and over
Coupon code:  shipfree        ",2.60,4.8827,"Handmade item
Weight: 3 oz
Materials:  Sodium Bicarbonate, Citric Acid, Colloidal Oats, Goat Milk Powder, Cocoa Butter, Shea Butter, Rice Bran Oil, Polysorbate 80, Fragrance Oil, Colorant, kaolin clay
Made to order
Only ships within  United States .
Feedback:  1573 reviews
Favorited by:  942 people",Bath & Beauty Soaps Bath Bombs fun bath bomb,1573.0,942.0,https://www.etsy.com/listing/466073739/watermelon-bath-bomb-watermelon-bath,"https://img0.etsystatic.com/161/0/10173804/il_fullxfull.1127490200_jajv.jpg,https://img1.etsystatic.com/145/0/10173804/il_fullxfull.1174093209_eli0.jpg,https://img1.etsystatic.com/116/0/10173804/il_fullxfull.1055291311_ae0k.jpg,https://img0.etsystatic.com/124/0/10173804/il_fullxfull.1008766206_eqwu.jpg",,,228
7524,Watermelon Shower Jelly | Jelly Soap | Jellies | Soap Jelly | Soap Jellies | Jelly Soap | Shower Jellies,"
            Jiggly, wiggly and watermelonly.  The party hasn't started until the Watermelon Jelly shows up.  Stuffed with watermelon smells and extra jiggles, Watermelon Jellies are the jam.
Jelly soap is soap with ""Jell-O"" like consistency.  It can be used like any regular bar or liquid soap.  Pinch a piece, cut it into cubes, it lathers and cleans like ordinary soap.  It's just way more fun.
Each soap jelly comes with a small shower pouf/puff
Ingredients:  Glycerin, Water, SLS, Carrageenan Powder, Phenoxyethanol, Pentasodium Pentetate, Tetrasodium Etidronate        ",4.95,4.8827,"Handmade item
Weight: 3.5 oz
Only ships within  United States .
Feedback:  1573 reviews
Favorited by:  217 people",Bath & Beauty Soaps Body Washes & Liquid Soaps jelly soap,1573.0,217.0,https://www.etsy.com/listing/467912290/watermelon-shower-jelly-jelly-soap,https://img1.etsystatic.com/149/1/10173804/il_fullxfull.1180158337_39j6.jpg,,,228
8314,"weaving, woven wall hanging, woven wall art, wall weaving, bohemian tapestries, woven tapestry, yarn wall hanging, antler decor, antler art","
            have you been looking for a unique woven wall hanging to adorn your walls? look no further than this B-E-A-UTIFUL woven stunner!!
this weaving features more than six different fibers, ranging from grey and cream to white and oatmeal, blend yarn to merino and everything in between! the free flowing pattern and mixing fibers creates a lovely pattern that's fun and exciting. the weave is attached to a craft antler with a piece of cord for easy hanging. this woven stunner is sure to be a conversation piece and is the perfect addition to any wall!
woven wall hangings make a lovely addition to a gallery wall or work solo as a stand alone piece. 
measurements:
craft antler: 9 inches
weave at its widest: 8 inches approx
length below antler: 14 inches approx.
**this is a made to order listing - the original piece sold and one will be recreated especially for you! every piece will vary slightly so that everyone has a OOAK weaving!**
MORE WOVEN STUNNERS
interested in checking out the weavings in stock? take a look here~~ 
https://www.etsy.com/shop/PineapplePhi?section_id=16965340&ref=shopsection_leftnav_1
have you seen our dip dye tassel mobiles? they were featured on real simple.com! take a look here~~
https://www.etsy.com/shop/PineapplePhi?section_id=17217291&ref=shopsection_leftnav_4
to see everything we have in stock, check out the pineapple phi home page!
https://www.etsy.com/shop/PineapplePhi
        ",49.00,4.9417,"Handmade item
Made to order
Ships worldwide from  United States
Feedback:  180 reviews
Favorited by:  1057 people",Art & Collectibles Fiber Arts Weaving weaving,180.0,1057.0,https://www.etsy.com/listing/470725593/weaving-woven-wall-hanging-woven-wall,"https://img0.etsystatic.com/126/1/9754214/il_fullxfull.1021448930_dlzg.jpg,https://img0.etsystatic.com/131/0/9754214/il_fullxfull.1021448940_t3pl.jpg,https://img0.etsystatic.com/133/0/9754214/il_fullxfull.1021448944_hoag.jpg,https://img0.etsystatic.com/135/0/9754214/il_fullxfull.1021448948_q7mz.jpg,https://img0.etsystatic.com/128/0/9754214/il_fullxfull.1021448934_swrn.jpg",,,228
8419,Alice Watching Butterflies mixed media Print on upcycled Vintage Page Book Art or Encyclopedia Page,"
            Alice Watching Butterflies Print on upcycled Vintage Page
Each page is approx. 160mm x 235mm 6.25 x 9.25inches 
No two ' Forgotten Pages ' prints will ever be the same, the actual page you will receive may be different than that shown in the listing, but it will come from the same antique book. 
Frame or Mount is not Included.
★ Buy 3 prints, get 1 EXTRA PRINT FREE! ★
Just indicate your choice of FREE PRINT (from our listings) at checkout, contact me for help.
Check out our other Alice, Nursery and Fashion prints
http://www.etsy.com/shop/ForgottenPages?section_id=11016857
Custom prints or bulk order discounts available.
Check out my other Etsy shops
https://www.etsy.com/shop/CoolCalico
Cool Calico- Natural Unbleached Matted/ Mounted Ready To Frame Calico Prints
Initials, Monograms, Family Names, Personalised Names, Baby Names, Wedding Decor etc.
https://www.etsy.com/shop/dateline
Vibrant ready to frame prints capturing those special dates in your life. Beautiful keepsakes and will match any decor.
Your vintage print will be packaged in a clear plastic sleeve, and shipped in recyclable board backed envelope.
We ship almost every day- excl. weekends
If you like to have the image of one of my sold items, or want a matching 
image to build a set, please contact me and I can make another one for you        ",8.00,4.9417,"Handmade item
Materials:  vintage paper, vintage print, alice adventures, wonderland print, old dictionary print, old book page, page old print, recycled page, repurposed page, book saved, irish print, Items from Wicklow, Ireland
Ships worldwide from  Ireland
Feedback:  1573 reviews
Favorited by:  4592 people",Art & Collectibles Mixed Media & Collage Paper alice in wonderland,1573.0,4592.0,https://www.etsy.com/listing/94150985/alice-watching-butterflies-mixed-media,"https://img1.etsystatic.com/118/0/6589395/il_fullxfull.987458355_oaeh.jpg,https://img0.etsystatic.com/028/0/6589395/il_fullxfull.519103054_lq73.jpg,https://img1.etsystatic.com/029/0/6589395/il_fullxfull.519169137_4bhj.jpg,https://img0.etsystatic.com/038/0/6589395/il_fullxfull.519103074_klyz.jpg",,,228
8805,"Large Hair Bow (12 Pack), Baby Girl Gift, Baby Gift, Large Bow, Hair Bow for Girl Large, french clip, kid B601","
            Handmade Hair Clip - *** Large ***
Approx. size (6"" x 4"")
2"" Ribbon
Alligator Clip or French Clip Available
Pick 12 Colors hair bows!  Great Gift Item!
  1. White  
  2. Off White
  3. Baby Pink
  4. Light Pink 
  5. Pink 
  6. Hot Pink 
  7. Red 
  8. Dark Red
  9. Orange
10. Coral
11. Yellow
12. Light Green
13. Green
14. Dark Green
15. Mint
16. Light Blue
17. Turquoise
18. Blue
19. Navy 
20. Light Purple
21. Purple
22. Tan
23. Brown
24. Gray
25. Black  
Do you want ALL 25 colors?  
Take a look - 
https://www.etsy.com/listing/201686246/boutique-hairbow-6-inch-175-dollars-each
KEEP SHOPPING WITH US: 
https://www.etsy.com/shop/HelloBowByKay
* Items are created in a pet free/smoke free environment. Items are sent by First Class Mail 3-5 days (excluding weekends and holidays) after payment has cleared.
****Please supervise small children at all times when wearing hair accessories as some have small parts which may become a choking hazard. ****        ",21.00,4.9127,"Handmade item
Materials:  ribbon, clip, grosgrain
Only ships within  United States .
Feedback:  13637 reviews
Favorited by:  2174 people",Accessories Hair Accessories Barrettes & Clips Large,13637.0,2174.0,https://www.etsy.com/listing/176799628/large-hair-bow-12-pack-baby-girl-gift,"https://img0.etsystatic.com/031/0/8732910/il_fullxfull.645587052_lxxw.jpg,https://img0.etsystatic.com/028/0/8732910/il_fullxfull.645508566_oeiy.jpg,https://img1.etsystatic.com/029/0/8732910/il_fullxfull.645619209_dodl.jpg,https://img1.etsystatic.com/040/0/8732910/il_fullxfull.645619231_s5wo.jpg,https://img0.etsystatic.com/038/0/8732910/il_fullxfull.624754826_qtew.jpg",,,228
